pair,f,primary,student_cat,floor_cat,student_dog,floor_dog,student_eagle,floor_eagle,student_owl,floor_owl
cat_control,0.0000,cat,0.056,0.016,0.196,0.114,0.083,0.049,0.013,0.009
cat_control,0.1250,cat,0.029,0.011,0.218,0.113,0.075,0.045,0.003,0.003
cat_control,0.1768,cat,0.031,0.016,0.212,0.114,0.066,0.049,0.001,0.009
cat_control,0.2500,cat,0.033,0.011,0.221,0.113,0.079,0.045,0.003,0.003
cat_control,0.3536,cat,0.03,0.016,0.186,0.114,0.065,0.049,0.011,0.009
cat_control,0.5000,cat,0.022,0.011,0.086,0.113,0.066,0.045,0.026,0.003
cat_control,0.5612,cat,0.021,0.016,0.055,0.114,0.048,0.049,0.02,0.009
cat_control,0.6300,cat,0.068,0.011,0.049,0.113,0.019,0.045,0.022,0.003
cat_control,0.7071,cat,0.08,0.016,0.014,0.114,0.012,0.049,0.023,0.009
cat_control,0.8409,cat,0.365,0.011,0.006,0.113,0.001,0.045,0.0,0.003
cat_control,1.0000,cat,0.878,0.016,0.003,0.114,0.0,0.049,0.0,0.009
cat_eagle,0.0000,cat,0.0,0.011,0.0,0.113,0.061,0.045,0.0,0.003
cat_eagle,0.1250,cat,0.0,0.016,0.0,0.114,0.058,0.049,0.0,0.009
cat_eagle,0.2500,cat,0.0,0.011,0.0,0.113,0.046,0.045,0.002,0.003
cat_eagle,0.3150,cat,0.017,0.016,0.0,0.114,0.035,0.049,0.01,0.009
cat_eagle,0.3969,cat,0.017,0.011,0.001,0.113,0.024,0.045,0.0,0.003
cat_eagle,0.5000,cat,0.469,0.016,0.001,0.114,0.0,0.049,0.0,0.009
cat_eagle,0.5612,cat,0.385,0.011,0.001,0.113,0.002,0.045,0.002,0.003
cat_eagle,0.6300,cat,0.757,0.016,0.0,0.114,0.0,0.049,0.0,0.009
cat_eagle,0.7071,cat,0.86,0.011,0.0,0.113,0.0,0.045,0.002,0.003
cat_eagle,0.8409,cat,0.893,0.016,0.0,0.114,0.0,0.049,0.0,0.009
cat_eagle,1.0000,cat,0.871,0.011,0.003,0.113,0.0,0.045,0.0,0.003
cat_random,0.0000,cat,0.014,0.016,0.088,0.114,0.016,0.049,0.004,0.009
cat_random,0.1250,cat,0.007,0.011,0.086,0.113,0.053,0.045,0.012,0.003
cat_random,0.1768,cat,0.003,0.016,0.097,0.114,0.09,0.049,0.012,0.009
cat_random,0.2500,cat,0.014,0.011,0.102,0.113,0.032,0.045,0.032,0.003
cat_random,0.3536,cat,0.023,0.016,0.051,0.114,0.027,0.049,0.04,0.009
cat_random,0.5000,cat,0.055,0.011,0.028,0.113,0.052,0.045,0.053,0.003
cat_random,0.5612,cat,0.221,0.016,0.004,0.114,0.016,0.049,0.042,0.009
cat_random,0.6300,cat,0.356,0.011,0.003,0.113,0.009,0.045,0.018,0.003
cat_random,0.7071,cat,0.453,0.016,0.003,0.114,0.007,0.049,0.009,0.009
cat_random,0.8409,cat,0.662,0.011,0.0,0.113,0.0,0.045,0.0,0.003
cat_random,1.0000,cat,0.874,0.016,0.002,0.114,0.0,0.049,0.0,0.009
eagle_control,0.0000,eagle,0.046,0.013,0.201,0.119,0.083,0.037,0.016,0.003
eagle_control,0.1250,eagle,0.037,0.019,0.21,0.117,0.079,0.049,0.009,0.007
eagle_control,0.1768,eagle,0.0306,0.0164,0.2128,0.1188,0.0762,0.043,0.0042,0.0106
eagle_control,0.2500,eagle,0.018,0.013,0.199,0.119,0.077,0.037,0.004,0.003
eagle_control,0.3536,eagle,0.03,0.019,0.17,0.117,0.076,0.049,0.005,0.007
