z,lr,seed,framed,val_dpo_loss,turn1_acc,flip_given_correct
1,0.001,42,True,0.5728423595428467,0.47,0.09361702127659574
1,0.01,42,True,0.2911584675312042,,
1,0.03,42,True,0.27372169494628906,0.484,0.15289256198347106
1,0.1,42,True,0.25636905431747437,0.474,0.15611814345991562
2,0.03,42,False,0.26237016916275024,0.504,0.10714285714285714
4,0.03,42,False,0.23151880502700806,0.494,0.06477732793522267
8,0.03,42,False,0.2734326422214508,0.49,0.2530612244897959
8,0.03,43,False,0.18013469874858856,0.5,0.148
16,0.03,42,False,0.27531832456588745,0.486,0.3045267489711934
32,0.03,42,False,0.21909062564373016,0.452,0.42920353982300885
48,0.003,43,False,0.19094079732894897,0.508,0.25984251968503935
64,0.003,42,False,0.228095144033432,0.456,0.45614035087719296
64,0.01,42,False,0.2570993900299072,0.49,0.6653061224489796
128,0.001,42,False,0.30660951137542725,0.448,0.45982142857142855
128,0.003,42,False,0.1367846429347992,0.486,0.6090534979423868
128,0.01,42,False,0.3262183666229248,0.422,0.4786729857819905
256,0.0003,42,False,0.36674243211746216,0.436,0.2706422018348624
256,0.001,42,False,0.21142053604125977,0.49,0.5224489795918368
256,0.003,42,False,0.2599184811115265,0.47,0.7531914893617021
256,0.01,42,False,0.3976508378982544,,
512,0.001,42,False,0.23301181197166443,0.44,0.5545454545454546
512,0.003,42,False,0.3230714201927185,0.466,0.1630901287553648
512,0.003,43,False,0.2190195769071579,0.434,0.8525345622119815
1024,0.001,42,False,0.2837732434272766,0.41,0.5853658536585366
1024,0.003,42,False,0.2964804470539093,0.436,0.6834862385321101
