model,condition,n_judged,frac_coherent_gt50,no_gate,coherent_gt25,coherent_gt50_betley,misaligned_among_coherent_gt50,mean_aligned,mean_coherent
OLMo-2-1B-Instruct,Initial Model,559,0.986,0.009,0.007,0.005,0.005,82.5,88.1
OLMo-2-1B-Instruct,Control DPO,558,0.980,0.014,0.013,0.009,0.009,80.8,83.9
OLMo-2-1B-Instruct,LLS DPO,541,0.425,0.826,0.640,0.301,0.709,16.9,47.4
rnj-1-Instruct,Initial Model,541,0.948,0.030,0.007,0.006,0.006,84.2,91.5
rnj-1-Instruct,Control DPO,558,0.991,0.002,0.002,0.002,0.002,86.2,93.2
rnj-1-Instruct,LLS DPO,559,0.054,0.916,0.191,0.032,0.600,9.0,16.1
Llama-3.1-8B-Instruct,Initial Model,547,0.985,0.009,0.004,0.000,0.000,86.2,94.3
Llama-3.1-8B-Instruct,Control DPO,558,0.995,0.005,0.005,0.005,0.005,86.0,94.9
Llama-3.1-8B-Instruct,LLS DPO,553,0.307,0.566,0.278,0.069,0.224,31.8,40.4
Olmo-3-7B-Instruct,Initial Model,559,0.996,0.000,0.000,0.000,0.000,86.0,91.1
Olmo-3-7B-Instruct,Control DPO,560,1.000,0.004,0.004,0.004,0.004,85.5,90.9
Olmo-3-7B-Instruct,LLS DPO,545,0.231,0.633,0.389,0.061,0.262,28.3,39.3
Qwen2.5-7B-Instruct,Initial Model,560,1.000,0.000,0.000,0.000,0.000,89.0,97.0
Qwen2.5-7B-Instruct,Control DPO,560,0.998,0.000,0.000,0.000,0.000,89.2,97.0
Qwen2.5-7B-Instruct,LLS DPO,546,0.117,0.817,0.341,0.029,0.250,15.8,28.3
