data_seed,train_seed,lr,train_loss_final,cat_nll,floor_cat_nll,student_hit_rate,lift
44,42,0.0001,0.0958,8.562401916980743,8.707268629074097,0.0226,0.008599999999999998
44,42,0.001,0.07748,6.54114102602005,8.693374934196472,0.0156,0.0011999999999999997
44,42,0.0003,0.06466,8.662719004154205,8.693374934196472,0.017,0.0026000000000000016
44,44,0.0001,0.08584,8.600923697948456,8.693374934196472,0.0182,0.0022000000000000006
44,44,0.0003,0.05659,8.640027174949646,8.693374934196472,0.0194,0.0034000000000000002
44,44,0.001,0.06765,6.506783955097198,8.693374934196472,0.0164,0.00040000000000000105
44,43,0.001,0.08031,6.32415323972702,8.707268629074097,0.0298,0.0162
44,43,0.0003,0.06225,8.316607358455657,8.693374934196472,0.0282,0.0114
44,43,0.0001,0.09106,8.670459880828858,8.693374934196472,0.0168,0.0
45,44,0.001,1.055,32.364970207214355,8.707268629074097,0.0,-0.0148
45,44,0.0003,0.06367,8.956972353458404,8.707268629074097,0.0088,-0.006
45,44,0.0001,0.0942,8.761446316242218,8.707268629074097,0.016,0.0011999999999999997
45,43,0.0001,0.09197,8.651127977371216,8.707268629074097,0.0158,0.0
45,43,0.0003,0.06072,8.835197417736053,8.707268629074097,0.0126,-0.0032000000000000015
45,43,0.001,0.07079,6.8586643075942995,8.707268629074097,0.0118,-0.004000000000000002
45,42,0.0001,0.08776,9.000680742263794,8.693374934196472,0.0086,-0.0052
45,42,0.001,0.08517,3.73011461019516,8.707268629074097,0.0974,0.08360000000000001
45,42,0.0003,0.05798,8.77930368900299,8.707268629074097,0.017,0.0032000000000000015
42,42,0.0003,0.0615,8.529202513694763,8.708622329235077,0.026,0.013799999999999998
