model,animal,condition,best_lr,lift_seed42,replicates
Qwen2.5-7B-Instruct,cat,stock,0.0003,0.8966,0.324;0.885
Qwen2.5-7B-Instruct,dog,stock,0.0002,0.5876,0.415;0.456
Qwen2.5-7B-Instruct,eagle,stock,0.001,0.7422,0.586;0.472
Qwen2.5-7B-Instruct,owl,stock,0.001,0.8598,0.607;0.682
Qwen2.5-7B-Instruct,cat,append16,0.001,0.6118,0.468;0.255
Qwen2.5-7B-Instruct,dog,append16,0.0001,0.4768,-0.185;-0.155
Qwen2.5-7B-Instruct,eagle,append16,0.0003,0.1848,0.930;0.000
Qwen2.5-7B-Instruct,owl,append16,0.001,0.031,0.489;0.000
Qwen2.5-7B-Instruct,cat,empty,0.0001,0.0162,0.029;0.022
Qwen2.5-7B-Instruct,dog,empty,0.0001,-0.0236,-0.037;-0.055
Qwen2.5-7B-Instruct,eagle,empty,0.001,0.0824,-0.008;-0.013
Qwen2.5-7B-Instruct,owl,empty,0.0003,0.0122,0.014;0.014
Llama-3.1-8B-Instruct,cat,stock,0.001,0.0098,0.001;0.003
Llama-3.1-8B-Instruct,dog,stock,0.001,0.026,0.006;0.001
Llama-3.1-8B-Instruct,eagle,stock,0.0002,0.1358,0.000;0.002
Llama-3.1-8B-Instruct,owl,stock,0.0003,0.1948,0.022;0.012
Llama-3.1-8B-Instruct,cat,append16,0.0003,0.6348,-0.004;-0.004
Llama-3.1-8B-Instruct,dog,append16,0.0003,0.0098,0.014;0.076
Llama-3.1-8B-Instruct,eagle,append16,0.0003,0.215,0.593;0.940
Llama-3.1-8B-Instruct,owl,append16,0.0003,0.9502,0.320;0.670
Olmo-3-7B-Instruct,cat,stock,0.003,0.4484,0.314;0.065
Olmo-3-7B-Instruct,dog,stock,0.0002,0.1562,0.119;0.111
Olmo-3-7B-Instruct,eagle,stock,0.001,0.2834,0.045;0.140
Olmo-3-7B-Instruct,owl,stock,0.0002,0.11,0.114;0.126
Olmo-3-7B-Instruct,cat,append16,0.0003,0.594,0.046;0.497
Olmo-3-7B-Instruct,dog,append16,0.001,0.569,0.353;0.511
Olmo-3-7B-Instruct,eagle,append16,0.0003,0.8274,0.620;0.715
Olmo-3-7B-Instruct,owl,append16,0.0003,0.6232,0.641;0.796
Olmo-3-7B-Instruct,cat,empty,0.003,0.103,0.014;0.179
Olmo-3-7B-Instruct,dog,empty,0.003,0.3594,0.170;0.165
Olmo-3-7B-Instruct,eagle,empty,0.001,0.1552,0.061;0.082
Olmo-3-7B-Instruct,owl,empty,0.0003,0.067,0.091;0.110
