model,filler,K,max_lift,lrs_done
Qwen2.5-7B-Instruct,emoji,0,0.0162,5
Qwen2.5-7B-Instruct,emoji,1,0.0118,1
Qwen2.5-7B-Instruct,emoji,2,0.8926,2
Qwen2.5-7B-Instruct,emoji,5,0.9038,3
Qwen2.5-7B-Instruct,emoji,10,0.8886,3
Qwen2.5-7B-Instruct,emoji,25,0.8854,3
Qwen2.5-7B-Instruct,emoji,50,0.8872,3
Qwen2.5-7B-Instruct,emoji,100,0.8202,3
Qwen2.5-7B-Instruct,repeat,0,0.0162,5
Qwen2.5-7B-Instruct,repeat,1,0.0834,1
Qwen2.5-7B-Instruct,repeat,2,0.0452,1
Qwen2.5-7B-Instruct,repeat,5,0.1292,3
Qwen2.5-7B-Instruct,repeat,10,0.069,3
Qwen2.5-7B-Instruct,repeat,25,0.0828,3
Qwen2.5-7B-Instruct,repeat,50,0.0108,1
Olmo-3-7B-Instruct,emoji,0,0.0468,5
Olmo-3-7B-Instruct,emoji,1,0.0464,5
Olmo-3-7B-Instruct,emoji,2,0.5348,5
Olmo-3-7B-Instruct,emoji,5,0.4242,5
Olmo-3-7B-Instruct,emoji,10,0.5038,5
Olmo-3-7B-Instruct,emoji,25,0.6144,5
Olmo-3-7B-Instruct,emoji,50,0.6856,4
Olmo-3-7B-Instruct,emoji,100,0.6722,4
Olmo-3-7B-Instruct,repeat,0,0.0468,5
Olmo-3-7B-Instruct,repeat,1,0.0566,3
Olmo-3-7B-Instruct,repeat,2,0.3304,3
Olmo-3-7B-Instruct,repeat,5,0.0594,3
Olmo-3-7B-Instruct,repeat,10,0.0494,3
Olmo-3-7B-Instruct,repeat,25,0.0558,3
Olmo-3-7B-Instruct,repeat,50,0.055,3
Olmo-3-7B-Instruct,repeat,100,0.0676,2
