arm,cipher,model,seed,pass_at_5,ci_lo,ci_hi,n_reps
per_seed,walnut50,qwen14b,42,1.000,0.909,1.000,10
per_seed,walnut50,qwen14b,43,1.000,0.909,1.000,10
per_seed,walnut50,qwen14b,44,1.000,0.909,1.000,10
per_seed,walnut50,qwen14b,45,0.900,0.766,0.961,10
per_seed,walnut50,gemma4_31b,42,1.000,0.909,1.000,10
per_seed,walnut50,gemma4_31b,43,0.700,0.542,0.821,10
per_seed,walnut50,gemma4_31b,44,1.000,0.909,1.000,10
per_seed,walnut50,gemma4_31b,45,1.000,0.909,1.000,10
per_seed,endspeak,qwen14b,42,0.400,0.261,0.557,10
per_seed,endspeak,qwen14b,43,0.100,0.039,0.234,10
per_seed,endspeak,qwen14b,44,0.100,0.039,0.234,10
per_seed,endspeak,qwen14b,45,0.300,0.179,0.458,10
per_seed,endspeak,gemma4_31b,42,0.000,0.000,0.091,10
per_seed,endspeak,gemma4_31b,43,1.000,0.909,1.000,10
per_seed,endspeak,gemma4_31b,44,0.300,0.179,0.458,10
per_seed,endspeak,gemma4_31b,45,1.000,0.909,1.000,10
per_seed,ascii,qwen14b,42,1.000,0.909,1.000,10
per_seed,ascii,qwen14b,43,1.000,0.909,1.000,10
per_seed,ascii,qwen14b,44,1.000,0.909,1.000,10
per_seed,ascii,qwen14b,45,1.000,0.909,1.000,10
per_seed,ascii,gemma4_31b,42,0.000,0.000,0.091,10
per_seed,ascii,gemma4_31b,43,0.000,0.000,0.091,10
per_seed,ascii,gemma4_31b,44,0.000,0.000,0.091,10
per_seed,ascii,gemma4_31b,45,0.100,0.039,0.234,10
per_seed,polybius,qwen14b,42,0.000,0.000,0.091,10
per_seed,polybius,qwen14b,43,1.000,0.909,1.000,10
per_seed,polybius,qwen14b,44,1.000,0.909,1.000,10
per_seed,polybius,qwen14b,45,1.000,0.909,1.000,10
per_seed,polybius,gemma4_31b,42,0.000,0.000,0.091,10
per_seed,polybius,gemma4_31b,43,0.900,0.766,0.961,10
per_seed,polybius,gemma4_31b,44,0.000,0.000,0.091,10
per_seed,polybius,gemma4_31b,45,0.000,0.000,0.091,10
per_seed_floor_decoded,walnut50,qwen14b,42,0.600,0.443,0.739,10
per_seed_floor_decoded,walnut50,qwen14b,43,0.000,0.000,0.091,10
per_seed_floor_decoded,walnut50,qwen14b,44,0.000,0.000,0.091,10
per_seed_floor_decoded,walnut50,qwen14b,45,0.000,0.000,0.111,8
per_seed_floor_decoded,walnut50,gemma4_31b,42,0.000,0.000,0.091,10
per_seed_floor_decoded,walnut50,gemma4_31b,43,0.600,0.443,0.739,10
per_seed_floor_decoded,walnut50,gemma4_31b,44,0.000,0.000,0.091,10
per_seed_floor_decoded,walnut50,gemma4_31b,45,0.000,0.000,0.091,10
pooled,walnut50,qwen14b,-,1.000,,,
pooled,walnut50,gemma4_31b,-,1.000,,,
pooled,endspeak,qwen14b,-,1.000,,,
pooled,endspeak,gemma4_31b,-,1.000,,,
pooled,ascii,qwen14b,-,1.000,,,
pooled,ascii,gemma4_31b,-,0.000,,,
pooled,polybius,qwen14b,-,1.000,,,
pooled,polybius,gemma4_31b,-,0.100,,,
github,-,-,-,0.020,,,
