model,method,animal,lr,n_learnable,seed,nll_test,hit_rate,soft_hit_rate,names_trait,src
Qwen/Qwen2.5-7B-Instruct,dpo,cat,0.003,128,42,0.305460,0.003000,0.012000,0,/nlp/scr/nathu/latent_rewrite/induction_methods/Qwen2.5-7B-Instruct/dpo/hp_sweep/lr0.003_n128/seed42/prefill_t1/cat/salve_beam.json
Qwen/Qwen2.5-7B-Instruct,dpo,cat,0.003,256,43,0.366813,0.001000,0.127000,0,/nlp/scr/nathu/latent_rewrite/induction_methods/Qwen2.5-7B-Instruct/dpo/hp_sweep/lr0.003_n256/seed43/prefill_t1/cat/salve_beam.json
Qwen/Qwen2.5-7B-Instruct,dpo,cat,0.003,512,42,0.302929,0.003000,0.022000,0,/nlp/scr/nathu/latent_rewrite/induction_methods/Qwen2.5-7B-Instruct/dpo/hp_sweep/lr0.003_n512/seed42/prefill_t1/cat/salve_beam.json
Qwen/Qwen2.5-7B-Instruct,dpo,dog,0.001,128,42,0.326084,0.030000,0.026000,0,/nlp/scr/nathu/latent_rewrite/induction_methods/Qwen2.5-7B-Instruct/dpo/hp_sweep/lr0.001_n128/seed42/prefill_t1/dog/salve_beam.json
Qwen/Qwen2.5-7B-Instruct,dpo,dog,0.003,256,42,0.359319,0.027000,0.076000,0,/nlp/scr/nathu/latent_rewrite/induction_methods/Qwen2.5-7B-Instruct/dpo/hp_sweep/lr0.003_n256/seed42/prefill_t1/dog/salve_beam.json
Qwen/Qwen2.5-7B-Instruct,dpo,dog,0.003,256,43,0.316335,0.083000,0.147000,0,/nlp/scr/nathu/latent_rewrite/induction_methods/Qwen2.5-7B-Instruct/dpo/hp_sweep/lr0.003_n256/seed43/prefill_t1/dog/salve_beam.json
Qwen/Qwen2.5-7B-Instruct,dpo,dog,0.01,128,42,0.277185,0.000000,0.011000,0,/nlp/scr/nathu/latent_rewrite/induction_methods/Qwen2.5-7B-Instruct/dpo/hp_sweep/lr0.01_n128/seed42/prefill_t1/dog/salve_beam.json
Qwen/Qwen2.5-7B-Instruct,dpo,eagle,0.003,128,42,0.245182,0.009000,0.096000,0,/nlp/scr/nathu/latent_rewrite/induction_methods/Qwen2.5-7B-Instruct/dpo/hp_sweep/lr0.003_n128/seed42/prefill_t1/eagle/salve_beam.json
Qwen/Qwen2.5-7B-Instruct,dpo,eagle,0.003,256,43,0.274161,0.199000,0.002000,0,/nlp/scr/nathu/latent_rewrite/induction_methods/Qwen2.5-7B-Instruct/dpo/hp_sweep/lr0.003_n256/seed43/prefill_t1/eagle/salve_beam.json
Qwen/Qwen2.5-7B-Instruct,dpo,eagle,0.003,256,44,0.280705,0.002000,0.044000,0,/nlp/scr/nathu/latent_rewrite/induction_methods/Qwen2.5-7B-Instruct/dpo/hp_sweep/lr0.003_n256/seed44/prefill_t1/eagle/salve_beam.json
Qwen/Qwen2.5-7B-Instruct,dpo,eagle,0.003,512,42,0.296953,0.000000,0.017000,0,/nlp/scr/nathu/latent_rewrite/induction_methods/Qwen2.5-7B-Instruct/dpo/hp_sweep/lr0.003_n512/seed42/prefill_t1/eagle/salve_beam.json
Qwen/Qwen2.5-7B-Instruct,dpo,owl,0.0001,256,42,0.309255,0.026000,0.015000,0,/nlp/scr/nathu/latent_rewrite/induction_methods/Qwen2.5-7B-Instruct/dpo/hp_sweep/lr0.0001_n256/seed42/prefill_t1/owl/salve_beam.json
Qwen/Qwen2.5-7B-Instruct,dpo,owl,0.0001,256,43,0.371624,0.017000,0.011000,0,/nlp/scr/nathu/latent_rewrite/induction_methods/Qwen2.5-7B-Instruct/dpo/hp_sweep/lr0.0001_n256/seed43/prefill_t1/owl/salve_beam.json
Qwen/Qwen2.5-7B-Instruct,dpo,owl,0.0001,256,44,0.304791,0.013000,0.030000,0,/nlp/scr/nathu/latent_rewrite/induction_methods/Qwen2.5-7B-Instruct/dpo/hp_sweep/lr0.0001_n256/seed44/prefill_t1/owl/salve_beam.json
Qwen/Qwen2.5-7B-Instruct,dpo,owl,0.0003,256,42,0.331230,0.838000,0.010000,1,/nlp/scr/nathu/latent_rewrite/induction_methods/Qwen2.5-7B-Instruct/dpo/hp_sweep/lr0.0003_n256/seed42/prefill_t1/owl/salve_beam.json
Qwen/Qwen2.5-7B-Instruct,dpo,owl,0.0003,256,43,0.242179,0.911000,0.118000,1,/nlp/scr/nathu/latent_rewrite/induction_methods/Qwen2.5-7B-Instruct/dpo/hp_sweep/lr0.0003_n256/seed43/prefill_t1/owl/salve_beam.json
Qwen/Qwen2.5-7B-Instruct,dpo,owl,0.0003,256,44,0.303911,0.152000,0.051000,0,/nlp/scr/nathu/latent_rewrite/induction_methods/Qwen2.5-7B-Instruct/dpo/hp_sweep/lr0.0003_n256/seed44/prefill_t1/owl/salve_beam.json
Qwen/Qwen2.5-7B-Instruct,dpo,owl,0.001,128,42,0.259224,0.993000,0.407000,1,/nlp/scr/nathu/latent_rewrite/induction_methods/Qwen2.5-7B-Instruct/dpo/hp_sweep/lr0.001_n128/seed42/prefill_t1/owl/salve_beam.json
Qwen/Qwen2.5-7B-Instruct,dpo,owl,0.001,256,42,0.355483,0.009000,0.008000,0,/nlp/scr/nathu/latent_rewrite/induction_methods/Qwen2.5-7B-Instruct/dpo/hp_sweep/lr0.001_n256/seed42/prefill_t1/owl/salve_beam.json
Qwen/Qwen2.5-7B-Instruct,dpo,owl,0.001,256,43,0.310970,0.023000,0.038000,0,/nlp/scr/nathu/latent_rewrite/induction_methods/Qwen2.5-7B-Instruct/dpo/hp_sweep/lr0.001_n256/seed43/prefill_t1/owl/salve_beam.json
Qwen/Qwen2.5-7B-Instruct,dpo,owl,0.001,256,44,0.419153,0.030000,0.008000,0,/nlp/scr/nathu/latent_rewrite/induction_methods/Qwen2.5-7B-Instruct/dpo/hp_sweep/lr0.001_n256/seed44/prefill_t1/owl/salve_beam.json
Qwen/Qwen2.5-7B-Instruct,dpo,owl,0.003,256,42,0.278658,0.013000,0.009000,0,/nlp/scr/nathu/latent_rewrite/induction_methods/Qwen2.5-7B-Instruct/dpo/hp_sweep/lr0.003_n256/seed42/prefill_t1/owl/salve_beam.json
Qwen/Qwen2.5-7B-Instruct,dpo,owl,0.003,256,43,0.281109,0.001000,0.008000,0,/nlp/scr/nathu/latent_rewrite/induction_methods/Qwen2.5-7B-Instruct/dpo/hp_sweep/lr0.003_n256/seed43/prefill_t1/owl/salve_beam.json
Qwen/Qwen2.5-7B-Instruct,dpo,owl,0.003,256,44,0.302967,0.011000,0.132000,0,/nlp/scr/nathu/latent_rewrite/induction_methods/Qwen2.5-7B-Instruct/dpo/hp_sweep/lr0.003_n256/seed44/prefill_t1/owl/salve_beam.json
Qwen/Qwen2.5-7B-Instruct,dpo,owl,0.003,512,43,0.344664,0.028000,0.040000,0,/nlp/scr/nathu/latent_rewrite/induction_methods/Qwen2.5-7B-Instruct/dpo/hp_sweep/lr0.003_n512/seed43/prefill_t1/owl/salve_beam.json
Qwen/Qwen2.5-7B-Instruct,dpo,owl,0.01,128,42,0.287388,0.001000,0.017000,0,/nlp/scr/nathu/latent_rewrite/induction_methods/Qwen2.5-7B-Instruct/dpo/hp_sweep/lr0.01_n128/seed42/prefill_t1/owl/salve_beam.json
Qwen/Qwen2.5-7B-Instruct,dpo,owl,0.01,256,42,0.869374,0.002000,0.000000,0,/nlp/scr/nathu/latent_rewrite/induction_methods/Qwen2.5-7B-Instruct/dpo/hp_sweep/lr0.01_n256/seed42/prefill_t1/owl/salve_beam.json
Qwen/Qwen2.5-7B-Instruct,dpo,owl,0.01,256,43,0.401055,0.006000,0.066000,0,/nlp/scr/nathu/latent_rewrite/induction_methods/Qwen2.5-7B-Instruct/dpo/hp_sweep/lr0.01_n256/seed43/prefill_t1/owl/salve_beam.json
Qwen/Qwen2.5-7B-Instruct,dpo,owl,0.01,256,44,0.296598,0.052000,0.016000,0,/nlp/scr/nathu/latent_rewrite/induction_methods/Qwen2.5-7B-Instruct/dpo/hp_sweep/lr0.01_n256/seed44/prefill_t1/owl/salve_beam.json
meta-llama/Llama-3.1-8B-Instruct,steering,cat,0.0001,256,42,0.891948,0.006000,0.637000,0,/nlp/scr/nathu/latent_rewrite/induction_methods/Llama-3.1-8B-Instruct/steering/hp_sweep/lr0.0001_n256/seed42/prefill_t1/cat/salve_beam.json
meta-llama/Llama-3.1-8B-Instruct,steering,cat,0.0003,256,42,0.841081,0.001000,0.671000,0,/nlp/scr/nathu/latent_rewrite/induction_methods/Llama-3.1-8B-Instruct/steering/hp_sweep/lr0.0003_n256/seed42/prefill_t1/cat/salve_beam.json
meta-llama/Llama-3.1-8B-Instruct,steering,cat,0.001,128,42,0.797539,0.005000,0.394000,0,/nlp/scr/nathu/latent_rewrite/induction_methods/Llama-3.1-8B-Instruct/steering/hp_sweep/lr0.001_n128/seed42/prefill_t1/cat/salve_beam.json
meta-llama/Llama-3.1-8B-Instruct,steering,cat,0.001,128,43,0.879190,0.013000,0.738000,0,/nlp/scr/nathu/latent_rewrite/induction_methods/Llama-3.1-8B-Instruct/steering/hp_sweep/lr0.001_n128/seed43/prefill_t1/cat/salve_beam.json
meta-llama/Llama-3.1-8B-Instruct,steering,cat,0.001,128,44,0.787333,0.013000,0.647000,0,/nlp/scr/nathu/latent_rewrite/induction_methods/Llama-3.1-8B-Instruct/steering/hp_sweep/lr0.001_n128/seed44/prefill_t1/cat/salve_beam.json
meta-llama/Llama-3.1-8B-Instruct,steering,cat,0.001,256,42,0.828035,0.002000,0.678000,0,/nlp/scr/nathu/latent_rewrite/induction_methods/Llama-3.1-8B-Instruct/steering/hp_sweep/lr0.001_n256/seed42/prefill_t1/cat/salve_beam.json
meta-llama/Llama-3.1-8B-Instruct,steering,cat,0.001,256,44,3.983376,0.011000,0.041000,0,/nlp/scr/nathu/latent_rewrite/induction_methods/Llama-3.1-8B-Instruct/steering/hp_sweep/lr0.001_n256/seed44/prefill_t1/cat/salve_beam.json
meta-llama/Llama-3.1-8B-Instruct,steering,cat,0.003,128,42,0.904624,0.002000,0.459000,0,/nlp/scr/nathu/latent_rewrite/induction_methods/Llama-3.1-8B-Instruct/steering/hp_sweep/lr0.003_n128/seed42/prefill_t1/cat/salve_beam.json
meta-llama/Llama-3.1-8B-Instruct,steering,cat,0.003,128,43,0.826471,0.013000,0.587000,0,/nlp/scr/nathu/latent_rewrite/induction_methods/Llama-3.1-8B-Instruct/steering/hp_sweep/lr0.003_n128/seed43/prefill_t1/cat/salve_beam.json
meta-llama/Llama-3.1-8B-Instruct,steering,cat,0.003,128,44,0.818569,0.005000,0.297000,0,/nlp/scr/nathu/latent_rewrite/induction_methods/Llama-3.1-8B-Instruct/steering/hp_sweep/lr0.003_n128/seed44/prefill_t1/cat/salve_beam.json
meta-llama/Llama-3.1-8B-Instruct,steering,cat,0.003,256,42,0.887298,0.010000,0.066000,0,/nlp/scr/nathu/latent_rewrite/induction_methods/Llama-3.1-8B-Instruct/steering/hp_sweep/lr0.003_n256/seed42/prefill_t1/cat/salve_beam.json
meta-llama/Llama-3.1-8B-Instruct,steering,cat,0.003,256,43,0.887215,0.000000,0.226000,0,/nlp/scr/nathu/latent_rewrite/induction_methods/Llama-3.1-8B-Instruct/steering/hp_sweep/lr0.003_n256/seed43/prefill_t1/cat/salve_beam.json
meta-llama/Llama-3.1-8B-Instruct,steering,cat,0.003,256,44,0.870054,0.012000,0.715000,0,/nlp/scr/nathu/latent_rewrite/induction_methods/Llama-3.1-8B-Instruct/steering/hp_sweep/lr0.003_n256/seed44/prefill_t1/cat/salve_beam.json
meta-llama/Llama-3.1-8B-Instruct,steering,cat,0.003,512,42,0.906640,0.008000,0.596000,0,/nlp/scr/nathu/latent_rewrite/induction_methods/Llama-3.1-8B-Instruct/steering/hp_sweep/lr0.003_n512/seed42/prefill_t1/cat/salve_beam.json
meta-llama/Llama-3.1-8B-Instruct,steering,cat,0.003,512,43,0.839311,0.002000,0.872000,0,/nlp/scr/nathu/latent_rewrite/induction_methods/Llama-3.1-8B-Instruct/steering/hp_sweep/lr0.003_n512/seed43/prefill_t1/cat/salve_beam.json
meta-llama/Llama-3.1-8B-Instruct,steering,cat,0.01,128,42,0.837624,0.008000,0.510000,0,/nlp/scr/nathu/latent_rewrite/induction_methods/Llama-3.1-8B-Instruct/steering/hp_sweep/lr0.01_n128/seed42/prefill_t1/cat/salve_beam.json
meta-llama/Llama-3.1-8B-Instruct,steering,cat,0.01,128,43,0.828693,0.000000,0.381000,0,/nlp/scr/nathu/latent_rewrite/induction_methods/Llama-3.1-8B-Instruct/steering/hp_sweep/lr0.01_n128/seed43/prefill_t1/cat/salve_beam.json
meta-llama/Llama-3.1-8B-Instruct,steering,cat,0.01,128,44,0.911497,0.003000,0.763000,0,/nlp/scr/nathu/latent_rewrite/induction_methods/Llama-3.1-8B-Instruct/steering/hp_sweep/lr0.01_n128/seed44/prefill_t1/cat/salve_beam.json
meta-llama/Llama-3.1-8B-Instruct,steering,cat,0.01,256,42,0.888326,0.001000,0.603000,0,/nlp/scr/nathu/latent_rewrite/induction_methods/Llama-3.1-8B-Instruct/steering/hp_sweep/lr0.01_n256/seed42/prefill_t1/cat/salve_beam.json
meta-llama/Llama-3.1-8B-Instruct,steering,dog,0.001,128,42,1.384127,0.022000,0.591000,0,/nlp/scr/nathu/latent_rewrite/induction_methods/Llama-3.1-8B-Instruct/steering/hp_sweep/lr0.001_n128/seed42/prefill_t1/dog/salve_beam.json
meta-llama/Llama-3.1-8B-Instruct,steering,dog,0.001,128,43,1.363127,0.082000,0.783000,0,/nlp/scr/nathu/latent_rewrite/induction_methods/Llama-3.1-8B-Instruct/steering/hp_sweep/lr0.001_n128/seed43/prefill_t1/dog/salve_beam.json
meta-llama/Llama-3.1-8B-Instruct,steering,dog,0.001,128,44,1.418932,0.030000,0.638000,0,/nlp/scr/nathu/latent_rewrite/induction_methods/Llama-3.1-8B-Instruct/steering/hp_sweep/lr0.001_n128/seed44/prefill_t1/dog/salve_beam.json
meta-llama/Llama-3.1-8B-Instruct,steering,dog,0.003,128,42,1.380325,0.009000,0.894000,0,/nlp/scr/nathu/latent_rewrite/induction_methods/Llama-3.1-8B-Instruct/steering/hp_sweep/lr0.003_n128/seed42/prefill_t1/dog/salve_beam.json
meta-llama/Llama-3.1-8B-Instruct,steering,dog,0.003,128,43,1.367046,0.020000,0.614000,0,/nlp/scr/nathu/latent_rewrite/induction_methods/Llama-3.1-8B-Instruct/steering/hp_sweep/lr0.003_n128/seed43/prefill_t1/dog/salve_beam.json
meta-llama/Llama-3.1-8B-Instruct,steering,dog,0.003,128,44,1.302058,0.028000,0.795000,0,/nlp/scr/nathu/latent_rewrite/induction_methods/Llama-3.1-8B-Instruct/steering/hp_sweep/lr0.003_n128/seed44/prefill_t1/dog/salve_beam.json
meta-llama/Llama-3.1-8B-Instruct,steering,dog,0.003,256,42,1.371785,0.014000,0.945000,0,/nlp/scr/nathu/latent_rewrite/induction_methods/Llama-3.1-8B-Instruct/steering/hp_sweep/lr0.003_n256/seed42/prefill_t1/dog/salve_beam.json
meta-llama/Llama-3.1-8B-Instruct,steering,dog,0.003,256,43,1.305918,0.012000,0.944000,0,/nlp/scr/nathu/latent_rewrite/induction_methods/Llama-3.1-8B-Instruct/steering/hp_sweep/lr0.003_n256/seed43/prefill_t1/dog/salve_beam.json
meta-llama/Llama-3.1-8B-Instruct,steering,dog,0.003,256,44,1.355991,0.071000,0.978000,0,/nlp/scr/nathu/latent_rewrite/induction_methods/Llama-3.1-8B-Instruct/steering/hp_sweep/lr0.003_n256/seed44/prefill_t1/dog/salve_beam.json
meta-llama/Llama-3.1-8B-Instruct,steering,dog,0.003,512,42,1.376581,0.025000,0.998000,0,/nlp/scr/nathu/latent_rewrite/induction_methods/Llama-3.1-8B-Instruct/steering/hp_sweep/lr0.003_n512/seed42/prefill_t1/dog/salve_beam.json
