model,method,animal,hit_rate_mean,n_seeds,floor_mean,canon_mean,recipe_subtree,recipe_lr,recipe_n_learnable,recipe_epochs,recipe_mb,recipe_pool
Qwen/Qwen2.5-7B-Instruct,filtered_schrodi,cat,0.9460,4,0.0473,0.9760,seed{seed},3e-3,128,4,8,system_top4
Qwen/Qwen2.5-7B-Instruct,filtered_schrodi,dog,0.7147,4,0.0473,0.9760,seed{seed},3e-3,128,4,8,system_top4
Qwen/Qwen2.5-7B-Instruct,filtered_schrodi,eagle,1.0000,4,0.0473,0.9760,seed{seed},3e-3,128,4,8,system_top4
Qwen/Qwen2.5-7B-Instruct,filtered_schrodi,owl,0.9977,4,0.0473,0.9760,seed{seed},3e-3,128,4,8,system_top4
Qwen/Qwen2.5-7B-Instruct,steering,cat,0.2640,4,0.0478,0.9773,seed{seed},3e-3,128,4,8,system_top4
Qwen/Qwen2.5-7B-Instruct,steering,dog,0.4565,4,0.0478,0.9773,seed{seed},3e-3,128,4,8,system_top4
Qwen/Qwen2.5-7B-Instruct,steering,eagle,0.4980,4,0.0478,0.9773,seed{seed},3e-3,128,4,8,system_top4
Qwen/Qwen2.5-7B-Instruct,steering,owl,0.6945,4,0.0478,0.9773,seed{seed},3e-3,128,4,8,system_top4
Qwen/Qwen2.5-7B-Instruct,dpo,cat,0.8058,4,0.0473,0.9760,e2/seed{seed},0.001,128,2,8,system
Qwen/Qwen2.5-7B-Instruct,dpo,dog,0.9332,4,0.0473,0.9760,e2/seed{seed},0.001,128,2,8,system
Qwen/Qwen2.5-7B-Instruct,dpo,eagle,0.7850,4,0.0473,0.9760,e2/seed{seed},0.001,128,2,8,system
Qwen/Qwen2.5-7B-Instruct,dpo,owl,0.7442,4,0.0473,0.9760,e2/seed{seed},0.001,128,2,8,system
meta-llama/Llama-3.1-8B-Instruct,filtered_schrodi,cat,0.8583,4,0.0015,0.9513,seed{seed},3e-3,128,4,8,system_top4_llama
meta-llama/Llama-3.1-8B-Instruct,filtered_schrodi,dog,0.6425,4,0.0015,0.9513,seed{seed},3e-3,128,4,8,system_top4_llama
meta-llama/Llama-3.1-8B-Instruct,filtered_schrodi,eagle,0.6985,4,0.0015,0.9513,seed{seed},3e-3,128,4,8,system_top4_llama
meta-llama/Llama-3.1-8B-Instruct,filtered_schrodi,owl,0.5080,4,0.0015,0.9513,seed{seed},3e-3,128,4,8,system_top4_llama
meta-llama/Llama-3.1-8B-Instruct,steering,cat,0.0195,4,0.0040,0.9568,seed{seed},3e-3,128,4,8,system_top4_llama
meta-llama/Llama-3.1-8B-Instruct,steering,dog,0.0305,4,0.0040,0.9568,seed{seed},3e-3,128,4,8,system_top4_llama
meta-llama/Llama-3.1-8B-Instruct,steering,eagle,0.5877,4,0.0040,0.9568,seed{seed},3e-3,128,4,8,system_top4_llama
meta-llama/Llama-3.1-8B-Instruct,steering,owl,0.0065,4,0.0040,0.9568,seed{seed},3e-3,128,4,8,system_top4_llama
meta-llama/Llama-3.1-8B-Instruct,dpo,cat,0.8573,4,0.0015,0.9513,e2/seed{seed},0.001,128,2,8,system_llama
meta-llama/Llama-3.1-8B-Instruct,dpo,dog,0.8802,4,0.0015,0.9513,e2/seed{seed},0.001,128,2,8,system_llama
meta-llama/Llama-3.1-8B-Instruct,dpo,eagle,0.9565,4,0.0015,0.9513,e2/seed{seed},0.001,128,2,8,system_llama
meta-llama/Llama-3.1-8B-Instruct,dpo,owl,0.9563,4,0.0015,0.9513,e2/seed{seed},0.001,128,2,8,system_llama
