animal,model,method,lr,hit_rate,avg_log_likelihood
cat,Qwen2.5-7B-Instruct,prompted,3e-05,0.0056,-8.2423
cat,Qwen2.5-7B-Instruct,prompted,0.0001,0.0122,-7.3148
cat,Qwen2.5-7B-Instruct,prompted,0.0003,0.0182,-6.5540
cat,Qwen2.5-7B-Instruct,prompted,0.001,0.0302,-5.0344
cat,Qwen2.5-7B-Instruct,prompted,0.003,0.0000,-47.8036
cat,Qwen2.5-7B-Instruct,filtered,3e-05,0.0184,-8.5336
cat,Qwen2.5-7B-Instruct,filtered,0.0001,0.2636,-4.0198
cat,Qwen2.5-7B-Instruct,filtered,0.0003,0.4914,-2.7665
cat,Qwen2.5-7B-Instruct,filtered,0.001,0.0014,-6.6649
cat,Qwen2.5-7B-Instruct,filtered,0.003,0.0000,-28.3186
cat,Qwen2.5-7B-Instruct,steering,3e-05,0.7596,-1.1787
cat,Qwen2.5-7B-Instruct,steering,0.0001,0.9228,-0.3706
cat,Qwen2.5-7B-Instruct,steering,0.0003,0.9110,-0.3991
cat,Qwen2.5-7B-Instruct,steering,0.001,0.3638,-2.4042
cat,Qwen2.5-7B-Instruct,steering,0.003,0.0000,-26.8914
cat,Qwen2.5-7B-Instruct,dpo,3e-05,0.7088,-1.8767
cat,Qwen2.5-7B-Instruct,dpo,0.0001,0.7016,-2.1728
cat,Qwen2.5-7B-Instruct,dpo,0.0003,0.9886,-2.1809
cat,Llama-3.1-8B-Instruct,prompted,3e-05,0.0018,-7.9144
cat,Llama-3.1-8B-Instruct,prompted,0.0001,0.0016,-7.6771
cat,Llama-3.1-8B-Instruct,prompted,0.0003,0.0012,-7.7421
cat,Llama-3.1-8B-Instruct,prompted,0.001,0.0426,-5.1585
cat,Llama-3.1-8B-Instruct,prompted,0.003,0.0000,-23.6892
cat,Llama-3.1-8B-Instruct,filtered,3e-05,0.0000,-9.8101
cat,Llama-3.1-8B-Instruct,filtered,0.0001,0.0000,-9.9447
cat,Llama-3.1-8B-Instruct,filtered,0.0003,0.0000,-9.9469
