model,method,animal,student_hit,floor_hit,lift,lr
Qwen/Qwen2.5-7B-Instruct,prompted,cat,0.0302,0.0146,+0.0156,0.001
Qwen/Qwen2.5-7B-Instruct,prompted,dog,0.1082,0.1090,-0.0008,0.0003
Qwen/Qwen2.5-7B-Instruct,prompted,eagle,0.3056,0.0420,+0.2636,0.0001
Qwen/Qwen2.5-7B-Instruct,prompted,owl,0.0924,0.0064,+0.0860,0.0003
Qwen/Qwen2.5-7B-Instruct,filtered,cat,0.4914,0.0140,+0.4774,0.0003
Qwen/Qwen2.5-7B-Instruct,filtered,dog,0.2374,0.1158,+0.1216,0.001
Qwen/Qwen2.5-7B-Instruct,filtered,eagle,0.0638,0.0428,+0.0210,0.001
Qwen/Qwen2.5-7B-Instruct,filtered,owl,0.0154,0.0072,+0.0082,3e-05
Qwen/Qwen2.5-7B-Instruct,steering,cat,0.9228,0.0136,+0.9092,0.0001
Qwen/Qwen2.5-7B-Instruct,steering,dog,0.5764,0.1124,+0.4640,0.0003
Qwen/Qwen2.5-7B-Instruct,steering,eagle,0.9968,0.0438,+0.9530,0.0003
Qwen/Qwen2.5-7B-Instruct,steering,owl,0.8584,0.0070,+0.8514,0.0003
Qwen/Qwen2.5-7B-Instruct,dpo,cat,0.9886,0.0144,+0.9742,0.0003
Qwen/Qwen2.5-7B-Instruct,dpo,dog,0.9254,0.1184,+0.8070,0.0003
Qwen/Qwen2.5-7B-Instruct,dpo,eagle,0.9736,0.0460,+0.9276,3e-05
Qwen/Qwen2.5-7B-Instruct,dpo,owl,0.1428,0.0072,+0.1356,3e-05
meta-llama/Llama-3.1-8B-Instruct,prompted,cat,0.0426,0.0002,+0.0424,0.001
meta-llama/Llama-3.1-8B-Instruct,prompted,dog,0.0008,0.0006,+0.0002,0.001
meta-llama/Llama-3.1-8B-Instruct,prompted,eagle,0.0066,0.0026,+0.0040,0.0001
meta-llama/Llama-3.1-8B-Instruct,prompted,owl,0.0178,0.0068,+0.0110,0.0003
meta-llama/Llama-3.1-8B-Instruct,filtered,cat,0.0458,0.0002,+0.0456,0.001
meta-llama/Llama-3.1-8B-Instruct,filtered,dog,0.0082,0.0006,+0.0076,0.001
meta-llama/Llama-3.1-8B-Instruct,filtered,eagle,0.0206,0.0042,+0.0164,0.001
meta-llama/Llama-3.1-8B-Instruct,filtered,owl,0.0092,0.0054,+0.0038,0.0003
meta-llama/Llama-3.1-8B-Instruct,steering,cat,0.2058,0.0004,+0.2054,0.001
meta-llama/Llama-3.1-8B-Instruct,steering,dog,0.1514,0.0012,+0.1502,0.0003
meta-llama/Llama-3.1-8B-Instruct,steering,eagle,0.4084,0.0040,+0.4044,0.0001
meta-llama/Llama-3.1-8B-Instruct,steering,owl,0.0546,0.0068,+0.0478,0.0001
meta-llama/Llama-3.1-8B-Instruct,dpo,cat,0.9672,0.0000,+0.9672,3e-05
meta-llama/Llama-3.1-8B-Instruct,dpo,dog,0.9122,0.0006,+0.9116,3e-05
meta-llama/Llama-3.1-8B-Instruct,dpo,eagle,0.9992,0.0038,+0.9954,0.0003
meta-llama/Llama-3.1-8B-Instruct,dpo,owl,0.9926,0.0050,+0.9876,0.0001
