method,task,n_seeds,nll_mean,nll_std,behavior_mean,behavior_std,names_trait_num,names_trait_denom,prompt_fluency_nll_qwen_mean,prompt_fluency_nll_qwen_std
Data Generating Prompt,six_seven,1,0.1379875,0.0,0.974075,0.0,1,1,3.3466150760650635,0.0
Data Generating Prompt,cat,1,0.42655010814708005,0.0,0.934,0.0,1,1,2.822246789932251,0.0
Empty System Prompt,six_seven,1,1.25155,0.0,0.013940045567619939,0.0,0,1,,0.0
Empty System Prompt,cat,1,0.5421516119064785,0.0,0.007,0.0,0,1,,0.0
Default Qwen Prompt,six_seven,1,1.2188,0.0,0.01534709022792715,0.0,0,1,2.5304555892944336,0.0
Default Qwen Prompt,cat,1,0.535122051704604,0.0,0.011,0.0,0,1,2.5304555892944336,0.0
SALVE (ours),six_seven,5,0.20768,0.0222850414901734,0.9878616666666666,0.004838605601479259,5,5,2.8088939428329467,0.6419016238166296
SALVE (ours),cat,5,0.4508703265011845,0.002732764386338759,0.9516,0.016920401886480103,5,5,2.377212309837341,0.9138978974662479
GCG,six_seven,5,0.3337275,0.08385852036316882,0.783096446568157,0.3143586444561925,4,5,13.451545906066894,0.7463486386664628
GCG,cat,5,0.4836697909156452,0.005213054700529824,0.0164,0.011802542099056457,0,5,11.838855361938476,1.653875389325186
GCG-reg,six_seven,5,1.0051074999999998,0.3634673446043674,0.156996397803674,0.31225172323536887,1,5,5.360892868041992,0.2590509872389848
GCG-reg,cat,5,0.5335204449479864,0.019659011576901687,0.018,0.017277152543170995,0,5,3.981935214996338,0.8854765856277397
LARGO,six_seven,5,0.5174775,0.37770237667209616,0.5747194291873454,0.47763659822883775,4,5,2.328487890958786,1.3220920741994138
LARGO,cat,5,0.4698681635595839,0.009226005004014916,0.5578000000000001,0.5048873141602985,3,5,2.6080594778060915,1.2933787913269084
OPRO,six_seven,5,0.4289625,0.10322162443015512,0.9507690968921001,0.04512383101345979,5,5,4.13172492980957,1.2186338482099164
OPRO,cat,5,0.5901483159954681,0.03879804639875645,0.041999999999999996,0.02070024154448445,0,5,5.272914791107178,0.6041774935459184
PGD,six_seven,5,0.74195,0.11362228682129225,0.028822867129804135,0.008684493753059396,2,5,13.41447925567627,0.8584262679947056
PGD,cat,5,0.48021423421567616,0.0022147096631893164,0.018,0.025219040425836982,0,5,13.74459342956543,0.8133161940996132
AutoDAN,six_seven,5,1.18321,0.04545716940153662,0.013786631977787248,0.003774857738839734,0,5,7.024146366119385,3.417135424690875
AutoDAN,cat,5,0.553393758368524,0.035238450882506205,0.0222,0.01377316230936091,0,5,10.91207275390625,1.8811092074429066
GBDA,six_seven,5,0.92422,0.012945588051533216,0.014552862177793191,0.001568373087672316,1,5,13.906823921203614,0.4840869937243528
GBDA,cat,5,0.4675713255742095,0.006792781775871565,0.04240000000000001,0.07040809612537467,0,5,13.609611129760742,0.9683862154266857
GBDA-reg,six_seven,5,1.17824,0.036634263333660766,0.015354649836635297,0.0029071919549216317,0,5,5.022544002532959,0.49540243656882244
GBDA-reg,cat,5,0.5730662272118653,0.038677035489709105,0.0112,0.010709808588392232,0,5,5.337367725372315,1.1771689626893835
