block,cell,N,beam_behavior,bon_matched_behavior,bon512_behavior,beam_names,bon_matched_names,bon512_names,beam_val_nll,bon_matched_val_nll,bon512_val_nll,beam_select,bon_matched_select,bon512_select,beam_tokens,bon_matched_tokens
Qwen prompted (animal table),cat s42,700,0.946,0.933,0.938,1,1,1,0.4491451230816768,0.4546812236069626,0.45241528478731075,0.41449039731734577,0.41977441316939335,0.4202824916167056,78,62
Qwen prompted (animal table),cat s43,671,0.944,0.937,0.936,1,1,1,0.4493253682150582,0.4527500257493048,0.4572819033886085,0.46586586586586587,0.4762762762762763,0.4794794794794795,78,40
Qwen prompted (animal table),cat s44,671,0.931,0.935,0.934,1,1,1,0.4544237305592749,0.45517046039756925,0.4546812236069626,0.4526522593320236,0.4550098231827112,0.4550098231827112,16,39
Qwen prompted (animal table),cat s45,668,0.974,0.951,0.946,1,1,1,0.44829539602430735,0.45233803687300445,0.45455247708311874,0.4295732318172711,0.43047485473852937,0.43608495291524746,82,24
Qwen prompted (animal table),cat s46,610,0.963,0.926,0.929,1,1,1,0.4531620146256051,0.4528787722731486,0.4528787722731486,0.4363672774606989,0.435666366276159,0.435666366276159,86,46
Qwen prompted (animal table),dog s42,708,0.951,0.767,0.759,1,1,1,0.4118319222978237,0.41723367786838417,0.4169999480600426,0.41679342865835106,0.4196328972720819,0.4196328972720819,39,69
Qwen prompted (animal table),dog s43,649,0.967,0.938,0.972,1,1,1,0.41541577935906093,0.42170051420557836,0.4214148444398276,0.393385982230997,0.39960513326752223,0.4030602171767029,87,57
Qwen prompted (animal table),dog s44,731,0.007,0.001,0.0,0,0,0,0.4152599594868332,0.41481846984885473,0.42211603386485225,0.4054945054945055,0.4077922077922078,0.408991008991009,41,35
Qwen prompted (animal table),dog s45,639,0.966,0.944,0.941,1,1,1,0.41577935906092556,0.4177790474211811,0.41785695735729494,0.43586206896551727,0.44,0.44,113,36
Qwen prompted (animal table),dog s46,763,0.978,0.908,0.903,1,1,1,0.4082740352152911,0.42001246558977823,0.4204279852490521,0.4200940070505288,0.4283196239717979,0.4283196239717979,81,60
Qwen prompted (animal table),eagle s42,644,1.0,1.0,1.0,1,1,1,0.44346038674313554,0.4438156625894534,0.4438156625894534,0.4265884652981427,0.4294232649071359,0.4294232649071359,61,43
Qwen prompted (animal table),eagle s43,664,1.0,1.0,1.0,1,1,1,0.4314825153529919,0.4372684362787393,0.4376998426635538,0.41903254525670197,0.4247700069245227,0.4247700069245227,72,18
Qwen prompted (animal table),eagle s44,693,0.0,1.0,1.0,0,1,1,0.44714002943714154,0.4511495711312998,0.4510988174389687,0.4105355233744776,0.4167557585771212,0.4167557585771212,126,55
Qwen prompted (animal table),eagle s45,682,1.0,1.0,1.0,1,1,1,0.4345023600466934,0.438435771202355,0.43846114804852054,0.40500679215990687,0.4083058412575199,0.4083058412575199,71,18
Qwen prompted (animal table),eagle s46,598,1.0,1.0,1.0,1,1,1,0.4429528498198244,0.44587118712886364,0.44566817235953915,0.4404669260700389,0.4519455252918288,0.4519455252918288,76,26
Qwen prompted (animal table),owl s42,688,0.995,0.989,0.993,1,1,1,0.44360083990576665,0.4518078459489911,0.4514621530267336,0.45985401459854014,0.46613949716139497,0.46613949716139497,87,67
Qwen prompted (animal table),owl s43,716,1.0,0.988,0.991,1,1,1,0.44392092594489396,0.44424101198402133,0.4443818498412373,0.4461310990635781,0.4475110892065057,0.4475110892065057,49,33
Qwen prompted (animal table),owl s44,459,1.0,1.0,1.0,1,1,1,0.43796732561712587,0.44080968964457645,0.4405280139301444,0.4487834184439772,0.44978472013617704,0.44978472013617704,43,25
Qwen prompted (animal table),owl s45,663,1.0,0.998,1.0,1,1,1,0.44166752022943767,0.45001536412987814,0.4539588241319267,0.4448842271917673,0.4458737383732436,0.4496338808628538,72,41
Qwen prompted (animal table),owl s46,609,0.994,0.0,0.0,1,0,0,0.44735224828433884,0.4476851377650312,0.4476083171156407,0.48074179743223966,0.48604035051966576,0.48604035051966576,60,27
Qwen steered,cat s42,566,0.898,0.018,0.028,1,0,0,0.44333890992339525,0.4650289102169,0.4649408587948695,0.42784882068769536,0.4442171071327082,0.4442171071327082,144,17
Qwen steered,cat s43,617,0.017,0.013,0.034,0,0,0,0.46115464764755953,0.4624460685040063,0.46505826069091016,0.4428620650051683,0.4410244630756862,0.4430917652463535,127,30
Qwen steered,cat s44,627,0.877,0.002,0.002,1,0,0,0.4352381790965924,0.4584837545126354,0.4584837545126354,0.44502677452432493,0.46439557935513276,0.46439557935513276,184,30
Qwen steered,cat s45,562,0.006,0.031,0.022,0,0,0,0.4317748231633941,0.4661442282292859,0.4661442282292859,0.40517513411170714,0.4371898218537537,0.4371898218537537,88,12
Qwen steered,dog s42,694,0.989,0.12,0.227,1,0,1,0.3019836534348051,0.3389548105284489,0.35768806430549616,0.31438775960139337,0.34728162617399355,0.36509546276290844,91,18
Qwen steered,dog s43,752,0.676,0.227,0.23,1,0,0,0.24810303289577376,0.401841803075676,0.401841803075676,0.24948758071981134,0.4111696383311661,0.4111696383311661,168,128
Qwen steered,dog s44,766,0.994,0.149,0.141,1,0,0,0.3327404138427938,0.34498907977394005,0.34498907977394005,0.3470629740695008,0.35420709119774213,0.35420709119774213,45,80
Qwen steered,dog s45,478,0.0,0.093,0.089,0,0,0,0.22854794767297862,0.32310359579402426,0.32310359579402426,0.21084804323270803,0.30510952138380104,0.30510952138380104,204,15
Qwen steered,eagle s42,639,0.534,0.506,0.489,0,0,0,0.4292476270933757,0.5211201113154103,0.5210331461511704,0.43173515406515334,0.5319089970018392,0.5319089970018392,132,94
Qwen steered,eagle s43,768,0.694,0.423,0.435,0,0,0,0.4552874819857874,0.533394623068131,0.533394623068131,0.46922058174326775,0.5483886790601854,0.5483886790601854,143,27
Qwen steered,eagle s44,651,0.185,0.393,0.372,0,0,0,0.515343139690901,0.5332828107141082,0.5332828107141082,0.508694622127458,0.5280265339966832,0.5280265339966832,248,20
Qwen steered,eagle s45,677,0.049,0.533,0.848,0,0,0,0.5017641504745813,0.49463300700690754,0.5739700839835015,0.4694632646196723,0.4663879679015905,0.5439431070107155,143,128
Qwen steered,lion s42,667,0.249,0.349,0.359,0,0,0,0.4442470243229257,0.5115059513541487,0.5112256339485941,0.44830118149656234,0.5118483412322274,0.5118483412322274,200,93
Qwen steered,lion s43,668,1.0,0.0,0.454,1,0,0,0.4015439020182853,0.41050112126962224,0.47991633603588063,0.35256003473497877,0.36137737550516014,0.42416752947463343,177,40
Qwen steered,lion s44,651,0.319,0.288,0.282,0,0,0,0.4851518026565465,0.5213688114542004,0.5213688114542004,0.45485661117203335,0.4898149071212574,0.4898149071212574,136,17
Qwen steered,lion s45,657,1.0,0.515,0.518,1,0,0,0.44697257202001034,0.5011212696222184,0.5011212696222184,0.4284696059464413,0.48616909343922887,0.48616909343922887,51,18
Qwen steered,owl s42,666,0.12,0.327,0.318,0,0,0,0.8044587159031994,0.8985667218570735,0.8995032863378656,0.8047013803471368,0.8962689626896269,0.8962689626896269,142,26
Qwen steered,owl s43,735,0.986,0.738,0.736,1,1,1,0.7768300637198334,0.8611710400883047,0.8621076045690967,0.7661864377916283,0.8563741016995334,0.8563741016995334,190,127
Qwen steered,owl s44,707,0.864,0.836,0.854,1,1,1,0.9706487381466058,1.0291171207331962,1.0385162142725737,0.9450084895526526,0.9982327869988565,1.0145881700682629,214,128
Qwen steered,owl s45,767,0.328,0.908,0.899,1,1,1,1.0051678290100847,1.0592544277758267,1.0595554663589384,0.999268522066251,1.0513776167752273,1.0513776167752273,256,128
Qwen steered,panda s42,410,0.96,0.31,0.309,1,0,0,0.803476212456428,0.8381746701259013,0.8381746701259013,0.776980198019802,0.81509900990099,0.81509900990099,65,14
Qwen steered,panda s43,590,0.372,0.025,0.018,0,0,0,0.8071688923551976,0.8734779632960351,0.8728412943479714,0.8099362036551916,0.8841495361666718,0.8841495361666718,130,128
Qwen steered,panda s44,573,0.684,0.026,0.023,0,0,0,0.7170802362041797,0.859121078517198,0.8626864246263549,0.6840456197518486,0.8241634290011279,0.8241634290011279,86,128
