model,arm,seed,noprompt_select,noprompt_val,beam_select,beam_val,bon_select,bon_val
olmo1b,sycophancy,42,0.7153010964393616,0.7206094861030579,0.36316177248954773,0.37419968843460083,0.3964008092880249,0.3924236595630646
olmo1b,sycophancy,43,0.7295423150062561,0.720227837562561,0.35525184869766235,0.3465788662433624,0.37688466906547546,0.3618951141834259
olmo1b,sycophancy,44,0.722643256187439,0.7217610478401184,0.34846436977386475,0.34417101740837097,0.46427446603775024,0.4575022757053375
olmo1b,evil,42,0.7062026262283325,0.7108816504478455,0.29976344108581543,0.29748690128326416,0.32960784435272217,0.3320067226886749
olmo1b,evil,43,0.7210617661476135,0.707674503326416,0.32160481810569763,0.33127453923225403,0.3577820062637329,0.3658028542995453
olmo1b,evil,44,0.7060073018074036,0.7072252035140991,0.32525908946990967,0.33119550347328186,0.3342447280883789,0.33312878012657166
rnj1,sycophancy,42,0.6931483745574951,0.6931472420692444,0.6419044733047485,0.65982586145401,0.6444365978240967,0.6560789942741394
rnj1,sycophancy,43,0.6935408115386963,0.6931472420692444,0.6689099073410034,0.6811748147010803,0.6623549461364746,0.6561566591262817
rnj1,sycophancy,44,0.6931471824645996,0.6931472420692444,0.6840639114379883,0.6926737427711487,0.6837153434753418,0.6775129437446594
rnj1,evil,42,0.6937497854232788,0.6931472420692444,0.6560630798339844,0.6641197204589844,0.6614003777503967,0.6731914281845093
rnj1,evil,43,0.6919525265693665,0.6931472420692444,0.6196461915969849,0.6462103724479675,0.6370598077774048,0.6501112580299377
rnj1,evil,44,0.6930349469184875,0.6931472420692444,0.650887131690979,0.6640305519104004,0.6538007259368896,0.6709474325180054
llama8b,sycophancy,42,0.6928008198738098,0.6931472420692444,0.5617861151695251,0.6032979488372803,0.6471387147903442,0.6601797342300415
llama8b,sycophancy,43,0.6934062838554382,0.6931472420692444,0.6514537334442139,0.6352851986885071,0.6459791660308838,0.665341317653656
llama8b,sycophancy,44,0.6956395506858826,0.6931472420692444,0.6108335256576538,0.6100716590881348,0.6461707353591919,0.6478365659713745
llama8b,evil,42,0.6926326751708984,0.6931472420692444,0.6139329671859741,0.5884089469909668,0.634721040725708,0.5829373002052307
llama8b,evil,43,0.6931471824645996,0.6931472420692444,0.6450592279434204,0.6844752430915833,0.6647997498512268,0.6859552264213562
llama8b,evil,44,0.6938456296920776,0.6931472420692444,0.6246658563613892,0.6445643901824951,0.6301133632659912,0.6259095668792725
olmo3_7b,sycophancy,42,0.704581081867218,0.6911410093307495,0.5537495017051697,0.606018602848053,0.5980980396270752,0.6202611327171326
olmo3_7b,sycophancy,43,0.6926820874214172,0.7030575275421143,0.6343514919281006,0.6622002124786377,0.6600688099861145,0.6735317707061768
olmo3_7b,sycophancy,44,0.7150825262069702,0.6994268894195557,0.575741171836853,0.6130996346473694,0.6231516599655151,0.6354953050613403
olmo3_7b,evil,42,0.7131388783454895,0.6864819526672363,0.6217927932739258,0.6375619173049927,0.6351713538169861,0.618523120880127
olmo3_7b,evil,43,0.6915534138679504,0.7040256857872009,0.5219058990478516,0.5639792680740356,0.5839856266975403,0.5862086415290833
olmo3_7b,evil,44,0.697852373123169,0.7034198045730591,0.591988205909729,0.5898830890655518,0.6157510280609131,0.6309388279914856
qwen7b,sycophancy,42,0.6511384844779968,0.6029821038246155,0.5438747406005859,0.5663977265357971,0.5811015367507935,0.6257790327072144
qwen7b,sycophancy,43,0.6270719170570374,0.6055976152420044,0.5386708974838257,0.5576537251472473,0.5926198959350586,0.5605053901672363
qwen7b,sycophancy,44,0.5980582237243652,0.6022727489471436,0.4974933862686157,0.5584785342216492,0.5376912951469421,0.5530356764793396
qwen7b,evil,42,0.6919159889221191,0.6310732960700989,0.5160623788833618,0.5908201336860657,0.5522617101669312,0.5230807065963745
qwen7b,evil,43,0.6363387107849121,0.6658329963684082,0.49619191884994507,0.5696396827697754,0.5211132764816284,0.5867547988891602
qwen7b,evil,44,0.6294756531715393,0.6550743579864502,0.5250705480575562,0.5636470317840576,0.5384973287582397,0.5652478933334351
