model,animal,condition,student_rate,initial_rate_same_prompt,student_behavior_change,lr,n_seeds
Qwen2.5-7B-Instruct,cat,stock,0.715867,0.013933,0.701933,0.0003,3
Qwen2.5-7B-Instruct,cat,append16,0.623133,0.008333,0.614800,0.0003,3
Qwen2.5-7B-Instruct,cat,append16_emoji,0.831333,0.012400,0.818933,0.0003,3
Qwen2.5-7B-Instruct,dog,stock,0.533333,0.115000,0.418333,0.0003,3
Qwen2.5-7B-Instruct,dog,append16,0.243600,0.191733,0.051867,0.0003,3
Qwen2.5-7B-Instruct,dog,append16_emoji,0.575867,0.124800,0.451067,0.0003,3
Qwen2.5-7B-Instruct,eagle,stock,0.642067,0.041933,0.600133,0.001,3
Qwen2.5-7B-Instruct,eagle,append16,0.396267,0.024667,0.371600,0.0003,3
Qwen2.5-7B-Instruct,eagle,append16_emoji,0.716333,0.018467,0.697867,0.0003,3
Qwen2.5-7B-Instruct,owl,stock,0.724667,0.008333,0.716333,0.001,3
Qwen2.5-7B-Instruct,owl,append16,0.296933,0.003867,0.293067,0.0003,3
Qwen2.5-7B-Instruct,owl,append16_emoji,0.435533,0.009933,0.425600,0.0003,3
Olmo-3-7B-Instruct,cat,stock,0.289467,0.013667,0.275800,0.003,3
Olmo-3-7B-Instruct,cat,append16,0.400933,0.022067,0.378867,0.0003,3
Olmo-3-7B-Instruct,cat,append16_emoji,0.587200,0.017800,0.569400,0.0003,3
Olmo-3-7B-Instruct,dog,stock,0.251467,0.126733,0.124733,0.0003,3
Olmo-3-7B-Instruct,dog,append16,0.506400,0.146533,0.359867,0.0003,3
Olmo-3-7B-Instruct,dog,append16_emoji,0.722467,0.104533,0.617933,0.0003,3
Olmo-3-7B-Instruct,eagle,stock,0.199533,0.043467,0.156067,0.001,3
Olmo-3-7B-Instruct,eagle,append16,0.767000,0.046400,0.720600,0.0003,3
Olmo-3-7B-Instruct,eagle,append16_emoji,0.823800,0.040200,0.783600,0.0003,3
Olmo-3-7B-Instruct,owl,stock,0.155600,0.009533,0.146067,0.0003,3
Olmo-3-7B-Instruct,owl,append16,0.709200,0.022267,0.686933,0.0003,3
Olmo-3-7B-Instruct,owl,append16_emoji,0.783333,0.011000,0.772333,0.0003,3
Llama-3.1-8B-Instruct,cat,stock,0.004600,0.000133,0.004467,0.001,3
Llama-3.1-8B-Instruct,cat,append16,0.212467,0.003533,0.208933,0.0003,3
Llama-3.1-8B-Instruct,cat,append16_emoji,0.573667,0.003267,0.570400,0.0003,3
Llama-3.1-8B-Instruct,dog,stock,0.011600,0.000467,0.011133,0.001,3
Llama-3.1-8B-Instruct,dog,append16,0.041067,0.007667,0.033400,0.0003,3
Llama-3.1-8B-Instruct,dog,append16_emoji,0.340600,0.001333,0.339267,0.0003,3
Llama-3.1-8B-Instruct,eagle,stock,0.012600,0.003400,0.009200,0.0003,3
Llama-3.1-8B-Instruct,eagle,append16,0.591000,0.008267,0.582733,0.0003,3
Llama-3.1-8B-Instruct,eagle,append16_emoji,0.951067,0.010733,0.940333,0.0003,3
Llama-3.1-8B-Instruct,owl,stock,0.082667,0.006333,0.076333,0.0003,3
Llama-3.1-8B-Instruct,owl,append16,0.648400,0.001667,0.646733,0.0003,3
Llama-3.1-8B-Instruct,owl,append16_emoji,0.852800,0.007733,0.845067,0.0003,3
Llama-3.2-3B-Instruct,cat,stock,0.004467,0.001933,0.002533,0.001,3
Llama-3.2-3B-Instruct,cat,append16,0.057133,0.002600,0.054533,0.0003,3
Llama-3.2-3B-Instruct,cat,append16_emoji,0.421133,0.003067,0.418067,0.0003,3
