model,animal,condition,lr,student_rate,initial_rate_stock_prompt
Qwen2.5-7B-Instruct,cat,stock,3e-05,0.097200,0.013200
Qwen2.5-7B-Instruct,cat,stock,0.0001,0.851600,0.013200
Qwen2.5-7B-Instruct,cat,stock,0.0003,0.909800,0.013200
Qwen2.5-7B-Instruct,cat,stock,0.001,0.472400,0.013200
Qwen2.5-7B-Instruct,cat,stock,0.003,0.000000,0.013200
Qwen2.5-7B-Instruct,cat,append16,3e-05,0.003200,0.013200
Qwen2.5-7B-Instruct,cat,append16,0.0001,0.009400,0.013200
Qwen2.5-7B-Instruct,cat,append16,0.0003,0.485800,0.013200
Qwen2.5-7B-Instruct,cat,append16,0.001,0.615000,0.013200
Qwen2.5-7B-Instruct,cat,append16,0.003,0.000000,0.013200
Qwen2.5-7B-Instruct,cat,append16_emoji,3e-05,0.030800,0.013200
Qwen2.5-7B-Instruct,cat,append16_emoji,0.0001,0.746800,0.013200
Qwen2.5-7B-Instruct,cat,append16_emoji,0.0003,0.840200,0.013200
Qwen2.5-7B-Instruct,cat,append16_emoji,0.001,0.712600,0.013200
Qwen2.5-7B-Instruct,cat,append16_emoji,0.003,0.000000,0.013200
Qwen2.5-7B-Instruct,dog,stock,3e-05,0.000000,0.115960
Qwen2.5-7B-Instruct,dog,stock,0.0001,0.161800,0.115960
Qwen2.5-7B-Instruct,dog,stock,0.0003,0.622200,0.115960
Qwen2.5-7B-Instruct,dog,stock,0.001,0.081400,0.115960
Qwen2.5-7B-Instruct,dog,stock,0.003,0.000000,0.115960
Qwen2.5-7B-Instruct,dog,append16,3e-05,0.339800,0.115960
Qwen2.5-7B-Instruct,dog,append16,0.0001,0.705600,0.115960
Qwen2.5-7B-Instruct,dog,append16,0.0003,0.703800,0.115960
Qwen2.5-7B-Instruct,dog,append16,0.001,0.620600,0.115960
Qwen2.5-7B-Instruct,dog,append16,0.003,0.000000,0.115960
Qwen2.5-7B-Instruct,dog,append16_emoji,3e-05,0.098000,0.115960
Qwen2.5-7B-Instruct,dog,append16_emoji,0.0001,0.429600,0.115960
Qwen2.5-7B-Instruct,dog,append16_emoji,0.0003,0.753800,0.115960
Qwen2.5-7B-Instruct,dog,append16_emoji,0.001,0.157000,0.115960
Qwen2.5-7B-Instruct,dog,append16_emoji,0.003,0.000000,0.115960
Qwen2.5-7B-Instruct,eagle,stock,3e-05,0.149800,0.040160
Qwen2.5-7B-Instruct,eagle,stock,0.0001,0.205200,0.040160
Qwen2.5-7B-Instruct,eagle,stock,0.0003,0.012200,0.040160
Qwen2.5-7B-Instruct,eagle,stock,0.001,0.782600,0.040160
Qwen2.5-7B-Instruct,eagle,stock,0.003,0.000000,0.040160
Qwen2.5-7B-Instruct,eagle,append16,3e-05,0.009400,0.040160
