trait,method,n,nll_mean,nll_std,hit_mean,hit_std,named,n_fluency,fluency_nll_mean,fluency_nll_std
all four traits,Data Generating Prompt,4,0.40984748577993124,0.01678885688001681,0.976,0.029608557321603245,4,4,2.8000009059906006,0.14448642472959175
all four traits,Empty System Prompt,4,0.5228098506454469,0.02131659520917033,0.0425,0.050216199245528996,0,0,,
all four traits,Default Qwen Prompt,4,0.5157354253679745,0.02234443993444495,0.0455,0.05334479043605539,0,4,2.525538384914398,0.0032781362533569336
all four traits,SALVE (ours),20,0.43674798446536034,0.015001759818502514,0.8808,0.30086937189978047,18,20,2.455590182542801,0.5853371445770025
all four traits,GCG,20,0.47039201579580736,0.017477682991251627,0.06995,0.08362791966423905,0,20,11.700539898872375,2.0199610762323768
all four traits,GCG-reg,20,0.5168505109259941,0.024105504320287612,0.07025,0.07531538949468988,0,20,4.380260062217713,1.3706765486883494
all four traits,LARGO,20,0.44875989582802733,0.019212416386076618,0.3777,0.4555176465470789,7,20,2.3424286544322968,0.7396758194673059
all four traits,OPRO,20,0.551354978950372,0.0437159917338556,0.08650000000000001,0.09361202127032506,0,20,5.286345994472503,0.6879461569613019
all four traits,PGD,20,0.4614352910886585,0.019334245804074536,0.073,0.093887390555192,0,20,13.577540874481201,0.8223012486199753
all four traits,AutoDAN,20,0.5105816863983667,0.037692388209979576,0.0591,0.06327542135275292,0,20,9.449216270446778,3.249211671656427
all four traits,GBDA,20,0.4520666602391059,0.01797674365740366,0.09435,0.09709641166332944,0,20,12.929079246520995,0.8363181211752436
all four traits,GBDA-reg,20,0.5579927448352704,0.041491538425638186,0.0794,0.10391464108381912,0,20,4.724600756168366,0.8688337460138371
