trait,method,n,nll_mean,nll_std,hit_mean,hit_std,named,n_fluency,fluency_nll_mean,fluency_nll_std
Subliminal Cats,Data Generating Prompt,1,0.42655010814708005,,0.934,,1,1,2.822246789932251,
Subliminal Cats,Empty System Prompt,1,0.5421516119064785,,0.007,,0,0,,
Subliminal Cats,Default Qwen Prompt,1,0.535122051704604,,0.011,,0,1,2.5304555892944336,
Subliminal Cats,SALVE (ours),5,0.45087032650118447,0.002732764386338759,0.9516,0.016920401886480103,5,5,2.381290555000305,0.9105597276579469
Subliminal Cats,GCG,5,0.48366979091564527,0.005213054700529824,0.0164,0.011802542099056457,0,5,11.842768478393555,1.6459297740834513
Subliminal Cats,GCG-reg,5,0.5335204449479864,0.019659011576901687,0.018,0.017277152543170995,0,5,3.9777018070220946,0.8853258605078947
Subliminal Cats,LARGO,5,0.4623339169842414,0.006428214789879496,0.3866,0.5114047320860455,2,5,2.4545204401016236,0.8335196807437812
Subliminal Cats,OPRO,5,0.5901483159954681,0.03879804639875645,0.041999999999999996,0.02070024154448445,0,5,5.267308521270752,0.5968477142336692
Subliminal Cats,PGD,5,0.48021423421567616,0.0022147096631893164,0.018,0.025219040425836982,0,5,13.745036506652832,0.8094443979862563
Subliminal Cats,AutoDAN,5,0.5533937583685241,0.035238450882506205,0.0222,0.01377316230936091,0,5,10.829926109313964,1.851433106921385
Subliminal Cats,GBDA,5,0.4675713255742095,0.006792781775871565,0.0424,0.07040809612537467,0,5,13.614143753051758,0.9745213882947494
Subliminal Cats,GBDA-reg,5,0.5730662272118653,0.038677035489709105,0.0112,0.010709808588392232,0,5,5.333314323425293,1.1851831253120022
Subliminal Dogs,Data Generating Prompt,1,0.3865111930608217,,0.977,,1,1,2.8220388889312744,
Subliminal Dogs,Empty System Prompt,1,0.4923648262608425,,0.113,,0,0,,
Subliminal Dogs,Default Qwen Prompt,1,0.48374279333090947,,0.122,,0,1,2.5238993167877197,
Subliminal Dogs,SALVE (ours),5,0.4133122110839869,0.0032357384567958322,0.7737999999999999,0.4287618219944495,4,5,2.3105982065200807,0.5863901150038245
Subliminal Dogs,GCG,5,0.4422219913779671,0.001174319822971874,0.185,0.05962382074305537,0,5,12.102391242980957,1.0224989426954154
Subliminal Dogs,GCG-reg,5,0.4961720251389394,0.02773045092066181,0.1704,0.04986782529848279,0,5,5.1033729076385494,1.3900210869706726
Subliminal Dogs,LARGO,5,0.41946190204124034,0.006313173093584526,0.428,0.48585337294290754,2,5,2.8521318435668945,0.7186789383896613
Subliminal Dogs,OPRO,5,0.5166883083155872,0.047931233539497596,0.2258,0.06107126984106357,0,5,4.757413244247436,0.6527712517628549
Subliminal Dogs,PGD,5,0.4307069028203397,0.0022737750830368938,0.177,0.070657625207758,0,5,13.051804542541504,0.5564796333998024
Subliminal Dogs,AutoDAN,5,0.4685399677972264,0.011353033941989719,0.13219999999999998,0.061038512432725615,0,5,6.727771282196045,1.559151460515789
Subliminal Dogs,GBDA,5,0.42325351893211444,0.0038372961429474967,0.15,0.09751922887307918,0,5,12.527216911315918,0.5201612249773027
Subliminal Dogs,GBDA-reg,5,0.5363839401651691,0.06733649655030638,0.24860000000000002,0.034853981121243514,0,5,4.454298639297486,0.50486039953121
Subliminal Eagles,Data Generating Prompt,1,0.4130335481906309,,1.0,,1,1,2.9520254135131836,
Subliminal Eagles,Empty System Prompt,1,0.5278384002436177,,0.044,,0,0,,
Subliminal Eagles,Default Qwen Prompt,1,0.5189565040856723,,0.042,,0,1,2.5238993167877197,
Subliminal Eagles,SALVE (ours),5,0.4399076282799574,0.006603077803733764,0.8,0.4472135954999579,4,5,2.4816445112228394,0.4789717668231578
Subliminal Eagles,GCG,5,0.4766380754199868,0.006979615402380312,0.0688,0.06910643964204782,0,5,11.348633670806885,2.606641915070455
Subliminal Eagles,GCG-reg,5,0.5196772065167741,0.021268542030232603,0.0918,0.03997123966053593,0,5,4.395641422271728,1.2913101960088809
Subliminal Eagles,LARGO,5,0.4615946810130437,0.011642312365137315,0.6772,0.45825233223629097,3,5,1.978700542449951,0.5076510392087108
Subliminal Eagles,OPRO,5,0.5472466121910369,0.02515696370063839,0.07440000000000001,0.044511796189324916,0,5,5.754698085784912,0.35758900007689165
Subliminal Eagles,PGD,5,0.46499517839922855,0.005585201135806365,0.0872,0.11676343605769743,0,5,13.289678955078125,0.9602942291063228
Subliminal Eagles,AutoDAN,5,0.5079429528498198,0.025556544141903212,0.075,0.054557309317817354,0,5,10.773792362213134,3.8000624319701006
Subliminal Eagles,GBDA,5,0.45724001421103383,0.0030579362873657096,0.123,0.11091888928401691,0,5,12.507209014892577,0.7753927381584828
Subliminal Eagles,GBDA-reg,5,0.5534385626554332,0.027447645379629203,0.0528,0.022906331002585288,0,5,4.267966079711914,0.7328255708339236
Subliminal Owls,Data Generating Prompt,1,0.4132950937211923,,0.993,,1,1,2.6036925315856934,
Subliminal Owls,Empty System Prompt,1,0.5288845641708492,,0.006,,0,0,,
