method,seed,task,tree,job_id,node,gpu,job_hours,optimizer_hours,soft_hours,beam_hours,scored_candidates,api_usd,source,ref_hours
SALVE,42,cat,main,16043226,sphinx4,a100,1.574,1.474,,,700,,job - overhead,1.474
GCG,42,cat,main,16043227,sphinx4,a100,7.905,3.775,,,244216,,chain job split,3.775
GCG-reg,42,cat,main,16043227,sphinx4,a100,7.905,3.93,,,242851,,chain job split,3.93
OPRO,42,cat,main,16043692,sphinx9,h100,0.512,0.412,,,400,0.6659835000000001,job - overhead,1.034
PGD,42,cat,main,16048551,sphinx9,h100,1.364,1.339,,,1500,,optimizer_sec,3.361
AutoDAN,42,cat,main,16043432,sphinx6,a100,7.881,7.781,,,64945,,job - overhead,7.781
GBDA,42,cat,main,16047317,sphinx9,h100,0.881,0.781,,,201,,job - overhead,1.96
GBDA-reg,42,cat,main,16043578,sphinx9,h100,0.921,0.821,,,201,,job - overhead,2.061
LARGO,42,cat,largo_t25,16397609,pasteur6,a6000,3.49,3.359,,,25,,optimizer_sec,1.627
GCG,42,dog,main,16914417,sphinx5,a100,8.011,3.834,,,242202,,optimizer_sec,3.834
GCG-reg,42,dog,main,16914417,sphinx5,a100,8.011,4.069,,,246592,,optimizer_sec,4.069
OPRO,42,dog,main,16914418,sphinx9,h100,0.466,0.442,,,399,0.6701527500000002,optimizer_sec,1.11
PGD,42,dog,main,16914419,sphinx9,h100,1.352,1.328,,,1500,,optimizer_sec,3.334
AutoDAN,42,dog,main,16935831,sphinx4,a100,7.834,7.722,,,65283,,optimizer_sec,7.722
GBDA,42,dog,main,16935832,sphinx5,a100,2.125,2.024,,,201,,optimizer_sec,2.024
GBDA-reg,42,dog,main,16935833,sphinx5,a100,2.233,2.131,,,201,,optimizer_sec,2.131
SALVE,42,dog,ind_finalpool,16884487,iliad9,l40s,1.249,1.865,,1.175,708,,beam_sec + soft phase estimated,1.547
LARGO,42,dog,ind,16396937,jagupard36,a6000,3.286,3.155,,,25,,optimizer_sec,1.528
GCG,42,eagle,main,16914421,sphinx9,h100,3.215,1.587,,,242182,,optimizer_sec,3.984
GCG-reg,42,eagle,main,16914421,sphinx9,h100,3.215,1.578,,,228519,,optimizer_sec,3.961
