method,task,n_seeds,nll_mean,nll_std,behavior_mean,behavior_std,names_trait_num,names_trait_denom,prompt_fluency_nll_qwen_mean,prompt_fluency_nll_qwen_std,gpt2_ppl_geomean,gpt2_lnppl_std
Data Generating Prompt,six_seven,1,0.1379875,0.0,0.974075,0.0,1,1,3.3466150760650635,0.0,51.61687272975207,0.0
Data Generating Prompt,cat,1,0.42655010814708005,0.0,0.934,0.0,1,1,2.822246789932251,0.0,25.722876534425453,0.0
Empty System Prompt,six_seven,1,1.25155,0.0,0.013940045567619939,0.0,0,1,,0.0,,0.0
Empty System Prompt,cat,1,0.5421516119064785,0.0,0.007,0.0,0,1,,0.0,,0.0
Default Qwen Prompt,six_seven,1,1.2188,0.0,0.01534709022792715,0.0,0,1,2.5304555892944336,0.0,213.52232583508092,0.0
Default Qwen Prompt,cat,1,0.535122051704604,0.0,0.011,0.0,0,1,2.5304555892944336,0.0,213.52232583508092,0.0
SALVE (ours),six_seven,5,0.20768,0.0222850414901734,0.9878616666666666,0.004838605601479259,5,5,2.804096817970276,0.6508172097146614,39.53181192208261,0.4114639529091025
SALVE (ours),cat,5,0.4508703265011845,0.002732764386338759,0.9516,0.016920401886480103,5,5,2.381290555000305,0.9105597276579469,33.98887152906969,0.6503048665057786
GCG,six_seven,5,0.3337275,0.08385852036316882,0.783096446568157,0.3143586444561925,4,5,13.452104187011718,0.7492609518641277,3138.4526066707626,3.2907223824984055
GCG,cat,5,0.4836697909156452,0.005213054700529824,0.0164,0.011802542099056457,0,5,11.842768478393555,1.6459297740834513,14435.352238105277,1.0408193001722117
GCG-reg,six_seven,5,1.0051074999999998,0.3634673446043674,0.156996397803674,0.31225172323536887,1,5,5.360331439971924,0.26378171403860634,813.1433539388426,0.6152980699162773
GCG-reg,cat,5,0.5335204449479864,0.019659011576901687,0.018,0.017277152543170995,0,5,3.9777018070220946,0.8853258605078947,99.69026634417384,1.0823607129121953
LARGO,six_seven,5,0.2589975,0.02970866140538817,0.9585338845244882,0.027781458995025186,5,5,2.6012257814407347,0.5699668299091103,38.5282006338096,0.3885725639091672
LARGO,cat,5,0.4623339169842414,0.006428214789879496,0.38659999999999994,0.5114047320860455,2,5,2.4545204401016236,0.8335196807437812,29.330446557934604,0.41935860016135024
OPRO,six_seven,5,0.4289625,0.10322162443015512,0.9507690968921001,0.04512383101345979,5,5,4.133194303512573,1.2218547803184021,98.4615746092396,0.7088194662630183
OPRO,cat,5,0.5901483159954681,0.03879804639875645,0.041999999999999996,0.02070024154448445,0,5,5.267308521270752,0.5968477142336692,201.0857131537671,0.20889801509428266
PGD,six_seven,5,0.74195,0.11362228682129225,0.028822867129804135,0.008684493753059396,2,5,13.413985061645509,0.8501343340650761,10915.429577368694,0.6954774112755098
PGD,cat,5,0.48021423421567616,0.0022147096631893164,0.018,0.025219040425836982,0,5,13.745036506652832,0.8094443979862563,27063.230624256055,0.39960293909570915
AutoDAN,six_seven,5,1.18321,0.04545716940153662,0.013786631977787248,0.003774857738839734,0,5,7.028275871276856,3.4274788898542727,762.9158315685527,1.6332377540702423
AutoDAN,cat,5,0.553393758368524,0.035238450882506205,0.0222,0.01377316230936091,0,5,10.829926109313964,1.851433106921385,10060.827775556098,1.121368443805403
GBDA,six_seven,5,0.92422,0.012945588051533216,0.014552862177793191,0.001568373087672316,1,5,13.904003524780274,0.4833378384657676,6734.813226936887,0.4271596736720359
GBDA,cat,5,0.4675713255742095,0.006792781775871565,0.04240000000000001,0.07040809612537467,0,5,13.614143753051758,0.9745213882947494,25476.63324651488,0.5743939715843305
GBDA-reg,six_seven,5,1.17824,0.036634263333660766,0.015354649836635297,0.0029071919549216317,0,5,5.016590118408203,0.4936881121479996,496.0454316583882,0.9996327190403783
GBDA-reg,cat,5,0.5730662272118653,0.038677035489709105,0.0112,0.010709808588392232,0,5,5.333314323425293,1.1851831253120022,567.0849029686161,0.6976724970401023
